Commodity	Unit	"Price Aug.15 1939(cents)"	Edible Weight per $1.00 (grams)	"Calories (1000)"	Protein(grams)	Calcium(grams)	Iron(mg.)	"Vitamin A(1000 I.U)"	Thiamine(mg.)	Riboflavin(mg.)	Niacin(mg.)	Asorbic Acid (mg.)
1. Wheat Flour (Enriched)	10 lb.	36	"12600"	44.7	"1411"	2	365		55.4	33.3	441	
2. Macaroni	1 lb.	14.1	"3217"	11.6	418	0.7	54		3.2	1.9	68	
3. Wheat Cereal (Enriched)	28 oz.	24.2	"3280"	11.8	377	14.4	175		14.4	8.8	114	
4. Corn Flakes	8 oz.	7.1	"3194"	11.4	252	0.1	56		13.5	2.3	68	
5. Corn Meal	1 lb.	4.6	"9861"	36	897	1.7	99	30.9	17.4	7.9	106	
6. Hominy Grits	24 oz.	8.5	"8005"	28.6	680	0.8	80		10.6	1.6	110	
7. Rice	1 lb. 	7.5	"6048"	21.2	460	0.6	41		2	4.8	60	
8. Rolled Oats	1 lb. 	7.1	"6389"	25.3	907	5.1	341		37.1	8.9	64	
9. White Bread (Enriched)	1 lb. 	7.9	"5742"	15	488	2.5	115		13.8	8.5	126	
10. Whole Wheat Bread	1 lb. 	9.1	"4985"	12.2	484	2.7	125		13.9	6.4	160	
11. Rye Bread	1 lb. 	9.2	"4930"	12.4	439	1.1	82		9.9	3	66	
12. Pound Cake	1 lb. 	24.8	"1829"	8	130	0.4	31	18.9	2.8	3	17	
13. Soda Crackers	1 lb. 	15.1	"3004"	12.5	288	0.5	50					
14. Milk	1 qt.	11	"8867"	6.1	310	10.5	18	16.8	4	16	7	177
15. Evaporated Milk (can)	14.5 oz.	6.7	"6035"	8.4	422	15.1	9	26	3	23.5	11	60
16. Butters	1 lb. 	30.8	"1473"	10.8	9	0.2	3	44.2		0.2	2	
17. Oleomargarine	1 lb. 	16.1	"2817"	20.6	17	0.6	6	55.8	0.2			
18. Eggs	1 doz.	32.6	"1857"	2.9	238	1	52	18.6	2.8	6.5	1	
19. Cheese (Cheddar)	1 lb. 	24.2	"1874"	7.4	448	16.4	19	28.1	0.8	10.3	4	
20. Cream	0.5 pt.	14.1	"1689"	3.5	49	1.7	3	16.9	0.6	2.5		17
21. Peanut Butter	1 lb.	17.9	"2534"	15.7	661	1	48		9.6	8.1	471	
22. Mayonnaise	0.5 pt.	16.7	"1198"	8.6	18	0.2	8	2.7	0.4	0.5		
23. Crisco	1 lb.	20.3	"2234"	20.1								
24. Lard	1 lb.	9.8	"4628"	41.7				0.2		0.5	5	
25. Sirloin Steak	1 lb.	39.6	"1145"	2.9	166	0.1	34	0.2	2.1	2.9	69	
26. Round Steak	1 lb.	36.4	"1246"	2.2	214	0.1	32	0.4	2.5	2.4	87	
27. Rib Roast	1 lb.	29.2	"1553"	3.4	213	0.1	33			2		
28. Chuck Roast	1 lb.	22.6	"2007"	3.6	309	0.2	46	0.4	1	4	120	
29. Plate	1 lb.	14.6	"3107"	8.5	404	0.2	62		0.9			
30. Liver (Beef)	1 lb.	26.8	"1692"	2.2	333	0.2	139	169.2	6.4	50.8	316	525
31. Leg of Lamb	1 lb.	27.6	"1643"	3.1	245	0.1	20		2.8	3.9	86	
32. Lamb Chops	1 lb.	36.6	"1239"	3.3	140	0.1	15		1.7	2.7	54	
33. Pork Chops	1 lb.	30.7	"1477"	3.5	196	0.2	30		17.4	2.7	60	
34. Pork Loin Roast	1 lb.	24.2	"1874"	4.4	249	0.3	37		18.2	3.6	79	
35. Bacon	1 lb.	25.6	"1772"	10.4	152	0.2	23		1.8	1.8	71	
36. Ham-smoked	1 lb.	27.4	"1655"	6.7	212	0.2	31		9.9	3.3	50	
37. Salt Pork	1 lb.	16	"2835"	18.8	164	0.1	26		1.4	1.8		
38. Roasting Chicken 	1 lb.	30.3	"1497"	1.8	184	0.1	30	0.1	0.9	1.8	68	46
39. Veal Cutlets	1 lb.	42.3	"1072"	1.7	156	0.1	24		1.4	2.4	57	
40. Salmon Pink (can)	16 oz.	13	"3489"	5.8	705	6.8	45	3.5	1	4.9	209	
41. Apples	1 lb.	4.4	"9072"	5.8	27	0.5	36	7.3	3.6	2.7	5	544
42. Bananas	1 lb.	6.1	"4982"	4.9	60	0.4	30	17.4	2.5	3.5	28	498
43. Lemons	1 doz.	26	"2380"	1	21	0.5	14		0.5		4	952
44. Oranges	1 doz.	30.9	"4430"	2.2	40	1.1	18	11.1	3.6	1.3	10	"1998"
45. Green Beans	1 lb.	7.1	"5750"	2.4	138	3.7	80	69	4.3	5.8	37	862
46. Cabbage	1 lb.	3.7	"8949"	2.6	125	4	36	7.2	9	4.5	26	"5369"
47. Carrots	1 bunch	4.7	"6080"	2.7	73	2.8	43	188.5	6.1	4.3	89	608
