La Défense (Grande Arche);14367265;2.2378827983;48.8919344692;535;1282
Esplanade de la Défense;9992248;2.2504423247;48.8878431221;603;1373
Pont de Neuilly;6823045;2.2598917247;48.8845093796;687;1456
Les Sablons (Jardin d'acclimatation);5500065;2.2725390854;48.8809017991;767;1539
Porte Maillot;9089205;2.2818361726;48.877964503;863;1633
Argentine;2947071;2.289321664;48.8755330929;998;1766
Charles de Gaulle-Etoile;8941588;2.2957626847;48.8744076037;1106;1869
George V;6273359;2.3004626834;48.8719825732;1230;2001
Franklin-Roosevelt;12053554;2.3083087645;48.8693052286;1355;2124
Champs-Elysées-Clémenceau;4910801;2.3139594501;48.8674114214;1444;2215
Concorde;7102855;2.3232998786;48.8661829956;1524;2292
Tuileries;2877169;2.3303141803;48.8644970967;1715;2351
Palais-Royal (Musée du Louvre);7448640;2.3358166119;48.8628468214;1895;2350
Louvre-Rivoli;3174681;2.3410004903;48.8605382947;2042;2348
Châtelet;12502708;2.347119401;48.8585195224;2366;2362
Hôtel de Ville;12621901;2.3514945398;48.8567695272;2545;2354
Saint-Paul (Le Marais);6591103;2.360653354;48.8551436006;2694;2504
Bastille;13590937;2.3691806051;48.852841731;2889;2550
Gare de Lyon;35162388;2.3740659075;48.8447045451;3073;2939
Reuilly-Diderot;5808594;2.3861181866;48.8472381327;3283;2813
Nation;9333662;2.3959057446;48.8484657506;3554;2664
Porte de Vincennes;6398167;2.4088835253;48.8472657114;3727;2719
Saint-Mandé;6069483;2.4186731009;48.8462977573;3859;2793
Bérault;2858413;2.4292384979;48.8453342425;3954;2890
Château de Vincennes;5365513;2.4395097055;48.8445363117;3991;2925
Porte Dauphine (Maréchal de Lattre de Tassigny);2894665;2.2766480746;48.8716448025;731;1890
Victor Hugo;3870906;2.2852672684;48.8696716619;885;2046
Ternes;3833182;2.2980307126;48.878066199;1216;1757
Courcelles;2733589;2.3036051529;48.8792362488;1314;1661
Monceau;1662955;2.3089662422;48.8806306676;1411;1563
Villiers;6257050;2.315270551;48.8810543983;1510;1466
Rome;2892744;2.3209841442;48.8825292241;1619;1357
Place de Clichy;9346342;2.3273068221;48.8836233672;1754;1326
Blanche;4278243;2.3316675232;48.8836536085;1973;1327
Pigalle;6176020;2.3376226052;48.882494385;2195;1328
Anvers;6780971;2.3439728252;48.8831322903;2364;1327
Barbès-Rochechouart;9178399;2.3497371943;48.8836207315;2566;1336
La Chapelle;6352766;2.3584996259;48.8839663988;2782;1326
Stalingrad;7089762;2.3670850145;48.8843047895;3038;1359
Jaurès;5960472;2.3702318192;48.8825437461;3144;1433
Colonel Fabien;4575858;2.3701471378;48.8779422921;3161;1589
Belleville;11598308;2.3768056077;48.8720416042;3160;1740
Couronnes;3006923;2.3798685187;48.8689698758;3256;1865
Ménilmontant;4472755;2.3833942785;48.8659488112;3373;1981
Père-Lachaise;4932986;2.3867218119;48.8626131584;3480;2122
Philippe Auguste;1883838;2.3893873915;48.8583654721;3481;2243
Alexandre-Dumas;3846473;2.3949898158;48.856174449;3480;2388
Avron;1916547;2.3979801301;48.8509782114;3494;2539
Gallieni (Parc de Bagnolet);6196476;2.4156826043;48.8633345779;3977;2122
Porte de Bagnolet;4495023;2.4079999527;48.8643963045;3846;2122
Gambetta;7365448;2.3984622387;48.8648347783;3661;2112
Rue Saint-Maur;2961357;2.3800732953;48.8639878082;3356;2123
Parmentier;3455199;2.3758467947;48.8651606068;3263;2065
République;18224965;2.3636695982;48.8674860391;2921;1977
Temple;1222777;2.3610807223;48.8663687823;2843;2024
Arts-et-Métiers;3836852;2.3563777809;48.8652929437;2773;2111
Réaumur-Sébastopol;5326171;2.3520352553;48.8663118302;2522;2155
Sentier;3484652;2.3466136387;48.8674133309;2313;2144
Bourse;3293898;2.3412326833;48.8687976839;2154;2144
Quatre Septembre;1850860;2.3357424748;48.8693729306;2000;2092
Opéra;12288027;2.3318051564;48.8707029412;1898;1989
Havre-Caumartin;7661183;2.3285077503;48.8733427701;1809;1900
Saint-Lazare;44936936;2.3261856586;48.8755778692;1744;1744
Europe;1585380;2.3228248406;48.8787098769;1621;1578
Malesherbes;2601913;2.3096940943;48.8828147398;1444;1401
Wagram;2575870;2.3046514421;48.883873961;1385;1342
Péreire;4711045;2.2975170487;48.8845503318;1331;1287
Porte de Champerret;3595140;2.2927420414;48.8855507197;1252;1211
Louise Michel;3543857;2.2881373109;48.8888292428;1201;1158
Anatole-France;3801122;2.2853738784;48.8924723754;1148;1105
Pont de Levallois-Bécon;5033694;2.2804894173;48.8971187551;1096;1051
Porte des Lilas;3627528;2.4063858234;48.8770699912;3865;1663
Saint-Fargeau;823762;2.4048576355;48.8719510995;3864;1814
Pelleport;382266;2.4013519901;48.8685198745;3774;1962
Porte d'Orléans (Général Leclerc);6848088;2.3248055531;48.8226012875;2143;3634
Alésia;5208628;2.3267456737;48.8283985143;2203;3576
Mouton-Duvernet;1752336;2.3294269348;48.8313196996;2272;3426
Denfert-Rochereau;4268859;2.33189346;48.8335919036;2282;3298
Raspail;1819535;2.3305830968;48.8389637143;2209;3208
Vavin;2308243;2.3290032189;48.8420036542;2101;3147
Montparnasse-Bienvenue;31553833;2.3226350506;48.8430428503;1950;3148
Saint-Placide;3278515;2.3269326356;48.8465803886;1971;2989
Saint-Sulpice;2532665;2.3308675644;48.8508047852;1973;2849
Saint-Germain des Prés;4443897;2.3337204654;48.8536134868;2021;2730
Odéon;6059691;2.3385575587;48.8522489364;2206;2738
Saint-Michel;8695006;2.343468452;48.8532875817;2238;2654
Cité;2326158;2.3467203742;48.8551005858;2297;2493
Les Halles;17991605;2.3458362673;48.8621947212;2367;2274
Etienne Marcel;2897367;2.34866984;48.863494659;2364;2188
Strasbourg-Saint-Denis;9967686;2.3540971057;48.8691997058;2623;1914
Château d'Eau;3967264;2.3554703688;48.8725890109;2669;1716
Gare de l'Est (Verdun);20284835;2.3579186772;48.8760613055;2789;1601
Gare du Nord;51316194;2.3547030784;48.8799654433;2761;1427
Château Rouge;1629996;2.3498266334;48.8871760671;2444;1210
Marcadet-Poissonniers;6388263;2.3498370716;48.8908769929;2444;1120
Simplon;2994372;2.3470910653;48.8946326892;2381;1020
Porte de Clignancourt;8663554;2.3447788774;48.8972870604;2313;952
Bobigny-Pablo-Picasso;7461452;2.4496207174;48.9069699443;3981;1011
Bobigny-Pantin (Raymond Queneau);2438115;2.4248018777;48.8952689905;3866;1125
Eglise de Pantin;3633009;2.4132856803;48.8931139817;3788;1203
Hoche;5040191;2.4031974138;48.8913165639;3677;1267
Porte de Pantin;4749922;2.391468614;48.8883327365;3521;1266
Ourcq;3930609;2.386029588;48.8869750227;3360;1266
Laumière;4582224;2.3795955532;48.8850422338;3237;1343
Jacques-Bonsergent;2667291;2.3605378839;48.870974904;2845;1806
