"educm","heightm","BMIm","healthm","consm","extram","agreem","emom","autom","riskym"
2,186,28.905075,3,-0.752877,-0.360787,-0.711276,-0.291031,0.840217,0.479437
2,176,27.440599,3,0.345542,-0.805524,-0.251796,-0.305475,-0.064454,0.030303
3,187,23.163374,3,-0.759678,0.898007,-0.029462,-0.672859,-0.961691,-0.556598
1,184,29.241493,2,-0.455688,-1.053375,-0.041612,0.436133,0.121873,0.992084
1,174,23.781214,4,-1.440239,1.16373,0.29375,-0.538922,0.782285,-1.401034
1,186,21.967857,3,-1.008298,-0.484221,1.155301,0.267899,0.927354,0.011056
2,183,25.082863,3,-0.053616,-0.239318,0.21011,-0.119122,-0.16593,0.214206
3,187,25.165146,3,0.098379,-1.886778,-0.78698,0.57866,-0.560358,0.254636
2,183,23.589836,4,-0.752877,0.605231,-0.519388,-0.003096,-0.621982,0.052341
2,186,21.389755,4,0.098379,0.614413,-0.771109,0.578305,-0.925533,-0.635862
1,196,22.126198,3,-0.342548,-0.238336,0.12461,-0.257211,-0.374031,0.033874
2,184,30.422968,3,-0.473659,0.045259,-0.548776,0.204153,-0.441682,-0.16251
3,189,20.436157,4,-0.31195,-1.327788,0.513164,0.673043,0.685428,0.46953
2,184,23.334122,3,-0.475116,-0.502584,-0.182166,0.061718,-0.138131,0.208792
2,187,24.307243,2,-0.619582,0.055914,-0.017806,0.146962,0.403651,-0.215716
2,185,24.251278,3,-0.218238,0.879153,-0.128972,-0.239303,-0.50102,0.333223
2,173,19.379198,3,0.346999,-1.602201,0.235776,-0.048565,0.741027,0.156261
1,183,22.395414,4,-0.765505,0.898007,-0.548776,-0.804427,-0.187703,-1.023422
2,187,25.165146,3,-1.061237,-0.891741,0.461831,0.578318,0.871756,0.415473
1,184,17.722116,3,-0.423911,0.329836,-1.325885,-0.491399,-0.052401,-0.098538
2,189,24.635368,4,-0.60914,0.045259,-0.051407,0.179447,0.143646,0.185622
3,187,20.589664,3,-0.189097,-0.485204,-0.006149,0.457107,-0.937585,0.15562
2,189,19.316368,4,-1.277074,0.737847,-0.980728,-0.534731,-0.59647,-2.500424
