"educv","heightv","BMIv","healthv","consv","extrav","agreev","emov","autov","riskyv"
2,159,22.942131,4,-0.352262,0.065096,-0.713136,-0.529817,-0.06674,0.271632
2,165,22.038567,3,-0.741707,-0.484221,0.219906,0.706937,0.685428,0.353834
3,170,20.761246,3,0.327571,-0.180299,1.05207,0.999001,0.177472,-0.201117
2,160,22.65625,4,-0.18764,-1.299261,1.223071,0.154011,2.284336,-0.17207
2,165,22.773186,3,0.078951,0.613921,0.122749,0.073875,-0.253068,0.042352
1,168,19.132652,3,-1.429069,0.472616,1.240802,0.695631,1.163253,-1.445496
2,168,22.675737,3,-1.133336,0.462943,0.233916,0.540649,0.215037,-0.150937
3,168,25.155895,3,0.574734,0.294093,-1.080239,-1.501449,-1.798664,0.314098
2,155,28.720083,3,-0.351534,-0.493403,-0.1565,-0.447957,-0.259094,0.11941
1,163,23.335466,3,1.149685,0.632776,0.251647,0.309684,-0.441682,0.450397
2,158,19.227688,3,-1.05298,0.632776,-0.842034,-0.704298,0.010677,0.586705
2,162,23.624447,3,0.101292,0.026896,-0.303129,-0.033771,0.43145,-0.719865
2,176,24.212294,3,-0.332835,-0.085391,-0.027602,-0.193475,0.524614,0.286146
2,174,22.460033,2,-0.053616,0.19722,-0.562786,-0.725594,0.282688,0.269544
1,168,24.09297,3,-0.34182,-0.228663,-0.015945,-0.125371,-0.280867,-0.091305
2,160,26.171875,4,0.634474,-0.352097,0.485637,-0.394732,0.419397,-0.462182
2,165,21.671259,4,-0.227952,0.046241,0.981145,-0.32643,0.351746,-0.116462
2,168,21.258503,3,0.594162,0.614413,-0.077074,-0.728852,-0.453734,0.227639
2,175,20.571428,3,0.349184,1.43716,-1.952152,-0.760718,-0.687301,0.280934
2,160,19.53125,2,-1.544393,0.878661,-1.341756,-1.238004,0.003197,-0.093547
2,173,21.049818,4,0.201804,-1.034029,0.485637,-0.175695,0.336,0.588044
2,165,18.365473,4,0.213703,-1.479258,-0.162574,-0.657549,-0.534845,0.11933
1,181,22.893074,2,-0.60914,0.74752,-0.980728,-0.731028,-0.59647,-2.478454
1,158,21.230572,2,0.06098,0.311473,0.497294,-0.337626,0.121873,0.591536
2,168,20.549887,4,0.615046,1.162255,-1.052219,-0.561936,-1.556738,0.353834
2,159,22.151022,4,-0.473659,0.594576,-0.925674,-0.545455,-0.925533,0.070445
2,169,27.660095,4,-0.587527,0.04575,0.089147,-0.414278,0.121873,0.340783
1,159,22.546576,2,0.059523,0.339017,-0.564646,-0.579301,-0.132105,0.295888
2,170,23.183392,2,0.348455,-0.503567,-1.310015,-0.322662,-0.417576,0.173864
2,163,21.077196,3,-1.009026,1.305527,0.584655,-0.325007,0.490788,-0.299968
2,164,22.308149,3,-0.330649,0.472124,0.348804,-0.585161,0.171445,0.191507
1,175,22.857143,3,0.305958,-0.086866,-0.164435,-0.50092,0.657629,-0.030252
3,168,19.84127,2,-0.618125,0.50016,-0.025741,-0.358912,0.177472,0.427065
3,178,20.199471,4,-0.227224,0.737847,-0.293333,-1.051757,-0.280867,0.341047
