teg1m,teg2m,teg3m,teg4m,teg5m,teg6m,teg7m,teg8m,teg9m,teg10m,teg11m,teg12m,teg13m,teg14m,teg15m,teg16m,spaar1m,spaar2m,spaar3m,spaar4m,spaar5m,spaar6m,teg1v,teg2v,teg3v,teg4v,teg5v,teg6v,teg7v,teg8v,teg9v,teg10v,teg11v,teg12v,teg13v,teg14v,teg15v,teg16v,spaar1v,spaar2v,spaar3v,spaar4v,spaar5v,spaar6v,educm,heightm,BMIm,healthm,consm,extram,agreem,emom,autom,riskym,Agem,educv,heightv,BMIv,healthv,consv,extrav,agreev,emov,autov,riskyv,Agev
5,3,5,4,4,4,5.5,3.5,4.5,4,2,3.5,3.5,4,3.5,3,4.5,2,4.5,6,3.5,6.5,5.5,3.5,3.5,4,4.5,5,3,4,3.5,4,3,3.5,2.5,3,3.5,3,5.5,4.5,3,6,2,3.5,2,186,28.905075,3,-0.752877,-0.360787,-0.711276,-0.291031,0.840217,0.872638,35,2,159,22.942131,4,-0.352262,0.065096,-0.713136,-0.529817,-0.06674,-0.111306,31
4,6,3,3,3,6,5,4,6,3,4,4,3,4,5,5,6,5,1,6,1,2,5,4,6,5,4,3,5,4,4,2,2,3,6,6,4,2,7,7,1,7,4,1,2,176,27.440599,3,0.345542,-0.805524,-0.251796,-0.305475,-0.064454,-0.691295,37,2,165,22.038567,3,-0.741707,-0.484221,0.219906,0.706937,0.685428,-0.894541,33
5,6.5,4.5,5,5,2,5,4,4,4,2,3.5,6,5,4,3,4,4,3,3,1.5,4,6,5.5,6,3,6.5,1.5,5,4,3.5,4.5,2.5,2,6,6,3,2,3,2,1.5,3,1,2,1,186,21.967857,3,-1.008298,-0.484221,1.155301,0.267899,0.927354,0.486458,33,1,168,19.132652,3,-1.429069,0.472616,1.240802,0.695631,1.163253,0.337691,31
3,4,3,3,4.5,4,3.5,4.5,3,2.5,4,3,5.5,5.5,5,4.5,2,1,4,3.5,6,5.5,5.5,5.5,4.5,2.5,4.5,2.5,3.5,2.5,3.5,1.5,2.5,2.5,4,4,4.5,2.5,2,2,3.5,2,5,6,2,183,25.082863,3,-0.053616,-0.239318,0.21011,-0.119122,-0.16593,1.660234,31,2,168,22.675737,3,-1.133336,0.462943,0.233916,0.540649,0.215037,1.663776,25
2,4,6,6,2,5,5,3,5,2,5,4,4,6,6,2,5,4,7,6,1,1,6,2,2,1,2,6,1,7,6,4,5,7,5,4,3,5,7,6,2,7,2,2,3,187,25.165146,3,0.098379,-1.886778,-0.78698,0.57866,-0.560358,0.005148,39,3,168,25.155895,3,0.574734,0.294093,-1.080239,-1.501449,-1.798664,-0.806617,37
4,5,2,4.5,4.5,4.5,4.5,5,5,2,2.5,3.5,4,4.5,4.5,3.5,5.5,7,1,5.5,1,2,6,4,4.5,3.5,3.5,7,5,5.5,3.5,1,3,5.5,3.5,5,4,5,5.5,4.5,1,5.5,1,1,2,180,27.777779,3,0.069965,-0.919777,0.095222,-0.089114,0.524614,-0.751538,39,2,180,18.82716,4,0.726729,0.34,-0.55485,-0.189046,0.310487,-0.641225,41
2.5,4,2.5,3,6,3,3.5,3.5,2.5,4,2.5,2.5,5,3.5,2.5,3,4,2,2.5,4.5,3,4,4.5,4.5,2.5,3,4,4.5,5,4,3.5,4,6,5.5,5,4.5,5,4.5,7,4,4,7,1,1,3,176,25.180784,3,-1.306944,-0.23981,0.44224,-0.38343,0.577925,0.580472,51,2,163,28.228386,3,-0.054345,0.04575,0.097082,-0.769859,-0.330485,-0.644588,42
6,5,4.5,2.5,2.5,4,4,3.5,3.5,3.5,4.5,3,3.5,3,3.5,2.5,4,3.5,4,4.5,3,1.5,5,5,2.5,4.5,4,4.5,4,4.5,4.5,3.5,4.5,2,3.5,3,3.5,5,3,3.5,4.5,6,2.5,2,2,183,23.589836,4,-0.752877,0.605231,-0.519388,-0.003096,-0.621982,0.317783,27,2,155,28.720083,3,-0.351534,-0.493403,-0.1565,-0.447957,-0.259094,0.281517,25
5,6,6,2,4,5,5,4,3,2,4,3,6,6,6,4,5,2,3,7,1,2,6,5,3,3,3,5,4,5,2,2,6,2,3,4,5,3,6,5.5,4.5,6,1,1,1,185,26.296566,2,0.366426,0.595067,0.774682,0.713521,0.177472,-0.243243,46,2,168,24.801588,3,0.346999,0.898007,-0.529184,0.22224,-0.881987,-0.490696,42
6,5,6,3,2,5,3,3,3,3,4,4,3,6,6,2,7,7,1,7,1,1,6,6,6,4,4,6,3,7,2,1,4,1,4,2,5,6,6,7,2,6,4,3,2,186,21.389755,4,0.098379,0.614413,-0.771109,0.578305,-0.925533,-1.219422,33,1,163,23.335466,3,1.149685,0.632776,0.251647,0.309684,-0.441682,-0.329758,29
