from_stop_nb,to_stop_nb,dis_line,min_time_elapsed,from_stop_id,to_stop_id,route_id
185,10,15000,.18,A09,112,
198,23,15000,.18,A24,125,
448,25,15000,.18,R16,127,
179,25,15000,.18,902,127,
200,25,25000,.3,A27,127,
176,25,15000,.18,725,127,
382,30,15000,.18,L02,132,
265,30,25000,.3,D19,132,
459,38,10000,.12,R27,140,
107,59,15000,.18,415,222,
288,64,15000,.18,E01,228,
207,64,15000,.18,A36,228,
421,65,25000,.3,M22,229,
109,65,25000,.3,418,229,
208,65,15000,.18,A38,229,
460,68,15000,.18,R28,232,
112,68,25000,.3,423,232,
269,71,15000,.18,D24,235,
463,71,15000,.18,R31,235,
478,75,15000,.18,S04,239,
401,89,25000,.3,L26,254,
257,106,15000,.18,D11,414,
59,107,15000,.18,222,415,
65,109,25000,.3,229,418,
208,109,15000,.18,A38,418,
421,109,25000,.3,M22,418,
68,112,25000,.3,232,423,
460,112,15000,.18,R28,423,
234,144,25000,.3,B08,629,
444,144,15000,.18,R11,629,
297,145,15000,.18,F11,630,
174,146,15000,.18,723,631,
178,146,15000,.18,901,631,
452,150,15000,.18,R20,635,
383,150,15000,.18,L03,635,
267,152,15000,.18,D21,637,
433,154,15000,.18,Q01,639,
455,154,15000,.18,R23,639,
419,154,15000,.18,M20,639,
420,155,15000,.18,M21,640,
330,163,15000,.18,G14,710,
443,170,0,0,R09,718,
337,171,15000,.18,G22,719,
296,171,25000,.3,F09,719,
178,174,25000,.3,901,723,
146,174,15000,.18,631,723,
262,175,15000,.18,D16,724,
448,176,15000,.18,R16,725,
179,176,25000,.3,902,725,
25,176,15000,.18,127,725,
200,176,15000,.18,A27,725,
174,178,25000,.3,723,901,
146,178,15000,.18,631,901,
200,179,25000,.3,A27,902,
176,179,25000,.3,725,902,
25,179,15000,.18,127,902,
448,179,15000,.18,R16,902,
10,185,15000,.18,112,A09,
259,188,15000,.18,D13,A12,
23,198,15000,.18,125,A24,
448,200,25000,.3,R16,A27,
179,200,25000,.3,902,A27,
176,200,15000,.18,725,A27,
25,200,25000,.3,127,A27,
381,203,7500.000000000001,.09,L01,A31,
266,204,15000,.18,D20,A32,
288,207,25000,.3,E01,A36,
64,207,15000,.18,228,A36,
109,208,15000,.18,418,A38,
421,208,15000,.18,M22,A38,
65,208,15000,.18,229,A38,
461,210,7500.000000000001,.09,R29,A41,
476,214,15000,.18,S01,A45,
376,220,15000,.18,J27,A51,
398,220,15000,.18,L22,A51,
444,234,25000,.3,R11,B08,
144,234,25000,.3,629,B08,
425,240,15000,.18,N04,B16,
106,257,15000,.18,414,D11,
188,259,15000,.18,A12,D13,
175,262,15000,.18,724,D16,
449,263,15000,.18,R17,D17,
30,265,25000,.3,132,D19,
382,265,15000,.18,L02,D19,
204,266,15000,.18,A32,D20,
152,267,15000,.18,637,D21,
463,269,25000,.3,R31,D24,
71,269,15000,.18,235,D24,
64,288,15000,.18,228,E01,
207,288,25000,.3,A36,E01,
171,296,25000,.3,719,F09,
337,296,15000,.18,G22,F09,
145,297,15000,.18,630,F11,
417,300,15000,.18,M18,F15,
465,306,15000,.18,R33,F23,
