pid,pid_spouse,weight_wife,height_wife,age_wife,education_wife,BMI_wife,health_wife,smoker_wife
4033,4194,177.02872,64.939789,36.16489,10.353404,29.513447,1,1
4036,4193,126.53715,64,23.024761,12,21.71981,1,0
4180,4196,145.06444,68.64473,28.282642,9,21.644348,1,0
4194,4033,177.02872,64.939789,36.16489,10.353404,29.513447,1,1
4196,4180,145.06444,68.64473,28.282642,9,21.644348,1,0
5031,5181,139.7782,61.619896,32.220406,11.999999,25.881859,1,0
5032,5182,145.28069,59.105164,35.360588,12.482109,29.238493,1,0
6030,6174,130.1801,65.999992,30.091808,16,21.011389,1,0
7030,7185,148.46126,63.673065,29.038376,11.000001,25.745394,1,0
7034,7190,185,66,29.000002,11,29.859453,1,0
7185,7030,148.46126,63.673065,29.038376,11.000001,25.745394,1,0
13030,13178,125.05543,62.394566,25.082045,15,22.584318,1,0
14176,14908,145.98404,64.988869,36.089874,11.999999,24.301069,1,1
18035,18201,147.24069,68.81076,28.516724,13.189237,21.863169,1,0
18036,18206,116.68337,65.97699,47.016521,12,18.846117,0,0
18170,18193,135.33313,64,46.453022,12,23.229622,1,0
18204,18935,136.48703,68.843391,26.99856,13.156605,20.247192,1,0
40031,40181,156.504,66,23.937878,15,25.260128,1,0
47033,47175,130.1167,66,27.079407,13.999999,21.001154,1,0
50031,50177,160.47672,62,27.038137,14.000001,29.35125,1,1
53006,53206,167.70073,67.805267,43.073467,12,25.645197,1,0
53031,53210,132.66675,68.028351,21.935356,11,20.154879,1,1
53033,53224,160,64,21,12,27.463634,1,1
60031,60183,171.74008,68.781509,23.739706,13.235341,25.522676,1,0
61030,61173,168.6691,64.52877,36.440811,17,28.479126,1,0
84004,84184,154.40958,67.334099,45.935902,12,23.944296,0,1
84030,84182,134.07211,67.240173,25.07616,14,20.84869,1,0
85030,85172,122.56823,65.236198,31.081879,16,20.248766,1,1
85031,85173,137.37384,69.393173,36.827549,15.066511,20.057117,1,1
85173,85031,130,68.789459,39.768471,14.715785,19.315126,1,1
88030,88186,161.526,63.322079,24.389599,12,28.322401,1,0
89005,89180,173.19589,64.000008,45.75951,12.000001,29.72867,1,0
96006,96175,104.80779,59.999992,37.107449,12.38442,20.468645,1,0
105192,105194,179.48625,68.027473,27.027475,11,27.268448,0,0
114032,114175,107.63727,62.377617,27.47917,11.277925,19.449259,1,0
121030,121175,115.24141,63.225346,43.116676,17,20.268616,0,0
121032,121174,157.49884,63.30899,42.176483,15.641574,27.627689,1,0
122033,122175,129.2411,66.202431,26.284002,13,20.732456,1,1
127030,127172,170.19745,66,32.026299,11.999999,27.470285,1,0
127031,127175,125,62,49,12,22.862545,0,0
127032,127174,133.29082,64.971893,38.423321,14.347878,22.199701,1,0
128006,128174,153.90028,65,37.282932,16.000002,25.610064,1,0
129039,129202,130.47849,61.999119,23.104101,9,23.865242,1,1
138178,138915,170.03317,69,34.076572,15,25.109234,1,0
151030,151174,166.99794,64.000008,30.752949,16.000002,28.664806,1,0
151031,151175,151.10915,65.377113,36.532219,15.999998,24.85634,0,0
165030,165176,161.53572,64.250664,30.066196,16,27.511312,1,0
