pid,pid_spouse,weight_husband,height_husband,age_husband,education_husband,BMI_husband,log_wage_husband,health_husband,smoker_husband
4033,4194,183.07321,66.77877,33.56818,11.336298,28.863293,2.5222185,1,1
4036,4193,147.60512,66.24279,27.548817,12.000001,23.649509,2.8204665,1,0
4180,4196,167.45833,70.743637,29.726412,10.484538,23.525017,2.4284618,1,1
4194,4033,182.64772,66.529541,36.424389,10.588633,29.012365,2.441206,1,1
4196,4180,183.64795,71.867157,31.835833,10.661688,24.999027,2.5945537,1,1
5031,5181,168.00156,70.948753,34.212185,11.999999,23.465061,2.710989,1,0
5032,5182,176.15221,72.120529,38.671024,12.602635,23.810482,2.7374289,1,1
6030,6174,161.38063,71,29.091808,14.999999,22.50778,2.8944263,1,0
7030,7185,141.51752,67.290543,31.291559,11.442665,21.973545,2.444864,1,1
7034,7190,177.43327,67.993195,29.971205,11.330433,26.983738,1.8568134,1,0
7185,7030,141.35692,68.385971,30.057016,11.257128,21.25108,2.4788349,1,1
13030,13178,202.00748,71.799248,28.082047,14,27.550253,3.6484709,1,0
14176,14908,215.05774,71.605965,39.502598,11.999999,29.488632,3.3229451,1,1
18035,18201,171.49214,67.860275,28.926783,11.999999,26.182491,2.6924105,1,0
18036,18206,170.23962,70.136406,39.176888,13.490875,24.331652,3.9850783,0,0
18170,18193,198.11119,70.035324,38.00666,15.812388,28.397011,3.6641703,1,0
18204,18935,167.4435,68.241127,28.045486,12.31118,25.279812,2.64662,1,0
40031,40181,163.90207,68.625488,29.240122,11.465241,24.468733,2.7507579,1,0
47033,47175,189.41667,72,31.079409,15,25.689236,2.4728563,1,0
50031,50177,173.789,65.462776,26.177082,13.660326,28.512243,2.404681,1,0
53006,53206,195.48817,67.999992,54.483952,12,29.723555,3.2660387,1,0
53031,53210,227.83153,73.582314,22.745087,11,29.584545,2.3108399,1,1
53033,53224,162,68.25,22,9.5,24.451622,2.7515886,1,0
60031,60183,231.24847,75.784576,27.122204,13.999999,28.308392,2.9996154,1,0
61030,61173,184.81908,68.692574,29.631178,16.345734,27.53754,2.9855564,1,0
84004,84184,182.08307,69.857399,46.895061,11.999999,26.232681,3.1651015,1,1
84030,84182,189.41954,72,25.446842,12.999999,25.689625,2.6964719,1,0
85030,85172,174.38536,70.651146,28.621325,17,24.56233,3.0354187,1,1
85031,85173,203.38622,72.133286,40.89814,15.200495,27.481979,3.7921057,1,1
85173,85031,195.38986,71.572411,44.172585,14.659817,26.816906,3.9642611,1,1
88030,88186,189.99998,68.322075,26.389599,14.67792,28.617352,2.4744592,1,0
89005,89180,190.40015,68.979561,42.247486,12.740336,28.133541,2.9763713,1,1
96006,96175,155.96104,66.208321,32.915241,14,25.014336,3.1480575,1,0
105192,105194,163.17583,68.440819,23.31741,12.000001,24.491953,2.4160595,0,0
114032,114175,155.95872,71.722069,31.451323,14.888291,21.315819,2.8288622,1,0
121030,121175,172.20319,71.000008,44.116673,17,24.017199,4.5276237,0,0
121032,121174,187.4747,69.654495,41.415436,16.402624,27.16704,3.0336261,1,1
122033,122175,164.20103,69.797562,30.091587,16,23.697001,2.7812297,1,1
127030,127172,199.89452,70.658379,29.431787,13.515917,28.149553,2.5673811,1,0
127031,127175,167.10739,65.60022,34.053112,15.666477,27.301281,3.0687869,0,0
127032,127174,201.78151,69.947945,39.738457,12,28.995419,2.7556472,1,1
128006,128174,185.31496,72,36.090282,12.000001,25.132948,3.0966265,1,0
129039,129202,162.4799,61.999119,23.104101,10,29.718479,2.7422402,1,1
138178,138915,162.94589,71.805824,52.882393,13.999999,22.218872,3.8660319,1,0
151030,151174,223.20868,74.831963,29.482052,16.000002,28.024302,3.8418131,1,0
151031,151175,208.26263,74.026276,35.276546,16.600008,26.720064,3.8563204,0,0
165030,165176,179.1033,66.715477,29.108179,16,28.291,2.8319874,1,0
166031,166171,208.14941,72.756126,39.776417,16.45175,27.646107,3.0359855,1,0
172031,172181,179.19946,68.191437,31.102314,12,27.094116,2.7055583,1,0
173034,173176,204.90636,71.734772,46.099632,11.367386,27.995869,2.4810243,1,0
190030,190181,141.94728,65,26.167675,11.999999,23.621002,2.0272446,1,0
190031,190182,193.98911,71.260612,39.34021,13.042446,26.858154,3.3572898,1,0
190181,190030,135.27809,65.098763,24.5399,12.000001,22.442951,2.098947,1,0
195170,195171,180.9223,71,36.960655,17,25.233259,3.7486868,1,0
197030,197172,137.93413,66.514793,44.644722,14.163817,21.919628,3.4812818,1,0
214030,214171,195.00002,71.742676,30.058582,16,26.636518,3.0385523,1,0
215030,215175,162.67313,65.55793,48.88464,13.360518,26.611132,2.6378024,1,0
223030,223172,158.673,69.627487,33.107037,15.999998,23.011217,3.0553541,1,0
223031,223173,154.10329,71.201782,30.739925,16.000002,21.371161,1.7632228,0,0
227003,227172,164.68411,68.461235,38.683479,12.76938,24.703598,3.0711281,1,0
231003,231172,157.53366,68,50.076008,14,23.952644,2.726409,1,0
236031,236174,197.59413,76,26.246073,16,24.051647,3.4675791,1,0
238004,238170,206.15953,70.999992,33.048252,16,28.753107,3.5880852,1,0
242031,242177,162.90608,71.062866,38.766582,12,22.680353,3.1549847,1,1
246030,246172,182.86055,69.853439,41.688824,16.000002,26.347681,3.1372223,1,0
257174,257176,166.79648,70.247803,36.779774,12.307774,23.763987,3.5270963,1,1
263034,263184,194.06631,70.529099,39.998775,13.804086,27.429092,3.4898872,1,0
265030,265176,146.08716,69.247047,33.685089,16.440828,21.419409,2.8855228,1,0
267030,267171,194.18599,72,32.167309,15.102811,26.336065,2.665369,1,0
280030,280177,186.87723,71.285278,29.058084,13.712562,25.8556,2.7765818,1,0
280031,280176,192.59038,73,40.031437,16.537836,25.408955,2.833333,1,0
284003,284171,173.9223,73.191078,43.118092,16,22.826374,3.7280557,1,0
284171,284003,174.99998,73.243568,42.051472,15.999999,22.934908,3.6361647,1,0
297047,297198,149.48073,64.217461,37.686462,11.850543,25.484545,2.2437017,0,0
301034,301182,196.60291,70.396004,41.736595,16.543058,27.892784,3.4589624,1,1
302033,302184,157.11481,73.211487,26.502779,12,20.608986,2.4092417,1,0
302035,302188,166.44402,70,28.272055,16,23.881966,3.1718819,1,1
302182,302004,180.80792,70.398369,50.153439,16,25.650166,3.1539254,1,0
302186,302022,185.70357,71.684853,54.279346,17.000002,25.407585,3.8929875,1,0
308036,308190,177.73907,70.747734,42.666439,15.980231,24.966394,3.16593,1,0
311031,311179,179.34236,72.723129,41.352333,16.446274,23.841618,3.2994194,0,0
312031,312174,153.35187,72,28.769459,13,20.798023,2.8097534,1,1
312174,312031,155.71376,71.41629,27.618221,13.116741,21.464973,3.1736078,1,1
317030,317175,210.83377,70.985367,30.340097,15,29.417141,3.0929422,1,0
