,educw,heightw,BMIw,healthw,consw,extraw,agreew,emow,autow,riskyw
educm,0.56,0.02,-0.08,0.02,-0.04,-0.01,-0.03,-0.04,0.05,-0.02
heightm,0.01,0.18,0.04,-0.01,-0.04,0.05,0.02,0.02,0.02,0.02
BMIm,-0.05,0.05,0.21,0.01,0.06,0,-0.04,0.04,-0.01,0.01
healthm,-0.07,0,-0.06,0.14,-0.04,0.05,-0.04,0.04,0.02,0
consm,-0.06,-0.03,0.07,0,0.14,0.07,0.04,0.06,-0.02,-0.01
extram,0.01,-0.02,0.05,0.02,-0.06,0.02,-0.02,-0.01,-0.03,-0.05
agreem,0,0.01,-0.08,0.02,0.13,-0.14,0.02,0.11,-0.09,-0.04
emom,0.03,0,0.12,0.04,0.21,0.05,-0.03,-0.04,0.08,0.01
autom,0.02,0,0,0.01,-0.11,0.11,-0.04,0.03,-0.09,0.01
riskym,0,0.02,-0.03,0.02,0.01,-0.01,-0.01,-0.05,0.05,0.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
