,Arkhangelsk,Yaroslavl’,Murom,Balakhonikha,Dzerzhinsk,Kishert’,Sverdlovsk,Artemovsk,Iledzhk,Dekonskaya,demand:
Agryz,,,,709,1064,693,,,,,2
Aleksandrov,,,,,397,,,1180,,,4
Almaznaya,,,,,,,,81,,65,1.5
Alchevskaya,,,,,,,,106,,114,4
Baku,,,,,,,,1554,,1563,10
Barybino,,,,,,,,985,,968,2
Berendeevo,,135,,,430,,,,,,10
Bilimbai,,,,,,200,59,,,,1
Bobrinskaya,,,,,,,,655,,663,10
Bologoe,,389,,,,,,1398,,,1
Verkhov’e,,,,,,,,678,,661,1
Volovo,,,,,,,,757,,740,3
Vologda,634,,,,,1236,,,,,2
Voskresensk,,,,427,,,,1022,,1005,1
V.Volochek,,434,,,,,,1353,,1343,5
Galich,815,224,,,,1056,,,,,0.5
Goroblagodatskaya,,,,,,434,196,,,,0.5
Zhlobin,,,,,,,,882,,890,8
Zverevo,,,,,,,,227,,235,5
Ivanovo,,,,,259,,,,,,6
Inza,,,,380,735,,,,,1272,2
Kagan,,,,,,,,2445,2379,,0.5
Kasimov,,,0,,,,,,,,1
Kinel’,,,,752,,1208,,,454,1447,2
Kovylkino,,,,355,,,,,,1213,2
Kyshtym,,,,,,421,159,,,,3
Leningrad,1237,709,,,,,,1667,,1675,55
Likino,,,223,,328,,,,,,15
Liski,,,,,,,,443,,426,1
Lyuberdzhy,,,268,,411,,,,,1074,1
Magnitogorskaya,,,,,,932,678,,818,,1
Mauk,,,,,,398,136,,,,5
Moskva,,,288,378,405,,,1030,,1022,141
Navashino,,,12,78,,,,,,,2
Nizhegol’,,,,,,,,333,,316,1
Nerekhta,,50,,,349,,,,,,5
Nechaevskaya,,,92,,,,,,,,0.5
N.-Novgorod,,,,,32,,,,,,25
Omsk,,,,,,1159,904,,1746,,5
Orenburg,,,,,,,,,76,,1.5
Penza,,,,411,,,,1040,883,1023,7
Perm’,1749,,,,,121,,,,,1
Petrozavodsk,1394,,,,,,,,,,1
Poltoradzhk,,,,,,,,1739,3085,1748,4
Pskov,,,,,,,,1497,,1505,10
Rostov/Don,,,,,,,,287,,296,20
Rostov/Yarosl,,56,,,454,,,,,,2
Rtishchevo,,,,,,,,880,,863,1
Savelovo,,325,,,,,,1206,,1196,5
Samara,,,,711,,,,,495,1406,7
San-Donato,,,,,,416,157,,,,1
Saratov,,,,,,,,1072,,1055,15
Sasovo,,,,504,,,,1096,,1079,1
Slavyanoserbsk,,,,,,,,119,,115,1.1
Sonkovo,,193,,,,,,1337,,,0.5
Stalingrad,,,,,,,,624,,607,15.4
St.Russa,,558,,,,,,1507,,1515,5
Tambov,,,,,,,,783,,766,4
Tashkent,,,,,,,,3051,1775,,3
Tula,,,,,,,,840,,848,8
Tyumen’,,,,,,584,329,,,,6
Khar’kov,,,,,,,,251,,259,60
Chelyabinsk,,,,,,511,257,,949,,2
Chishmy,,,,1123,,773,,,889,,0.5
Shchigry,,,,,,,,566,,549,4
Yudino,,,,403,757,999,,,,,0.5
Yama,,,,,,,,44,,52,5
Yasinovataya,,,,,,,,85,,93,6
supply:,5,11.5,8.5,12,100,12,15,314,10,55,543
