stop_name,flow,stop_lat,stop_lon,stop_id,stop_nb,route_id
Van Cortlandt Park - 242 St,1000,40.889248,-73.898583,101,1,(1)
238 St,1000,40.884667,-73.90087,103,2,(1)
231 St,1000,40.878856,-73.90483399999999,104,3,(1)
Marble Hill - 225 St,1000,40.874561,-73.909831,106,4,(1)
215 St,1000,40.869444,-73.915279,107,5,(1)
207 St,1000,40.864621,-73.91882200000001,108,6,(1)
Dyckman St,1000,40.860531,-73.92553599999999,109,7,(1)
191 St,1000,40.855225,-73.929412,110,8,(1)
181 St,1000,40.849505,-73.93359599999999,111,9,(1)
168 St - Washington Hts,1000,40.840556,-73.940133,112,10,(1)
157 St,1000,40.834041,-73.94489,113,11,(1)
145 St,1000,40.826551,-73.95036,114,12,(1)
137 St - City College,1000,40.822008,-73.953676,115,13,(1)
125 St,1000,40.815581,-73.958372,116,14,(1)
116 St - Columbia University,1000,40.807722,-73.96411000000001,117,15,(1)
Cathedral Pkwy,1000,40.803967,-73.966847,118,16,(1)
103 St,1000,40.799446,-73.968379,119,17,(1)
96 St,1000,40.793919,-73.972323,120,18,(2/1/3)
86 St,1000,40.788644,-73.976218,121,19,(1)
79 St,1000,40.783934,-73.979917,122,20,(1)
72 St,1000,40.778453,-73.98197,123,21,(1/2)
66 St - Lincoln Center,1000,40.77344,-73.982209,124,22,(1)
59 St - Columbus Circle,1000,40.768247,-73.98192899999999,125,23,(1)
50 St,1000,40.761728,-73.98384900000001,126,24,(1)
Times Sq - 42 St,1000,40.75529,-73.987495,127,25,(1/3)
34 St - Penn Station,1000,40.750373,-73.991057,128,26,(2/3)
28 St,1000,40.747215,-73.993365,129,27,(2/1)
23 St,1000,40.744081,-73.99565699999999,130,28,(2/1)
18 St,1000,40.74104,-73.997871,131,29,(2)
14 St,1000,40.737826,-74.000201,132,30,(3/1)
Christopher St - Sheridan Sq,1000,40.733422,-74.002906,133,31,(1)
Houston St,1000,40.728251,-74.00536700000001,134,32,(1)
Canal St,1000,40.722854,-74.006277,135,33,(2/1)
Franklin St,1000,40.719318,-74.00688599999999,136,34,(2)
Chambers St,1000,40.715478,-74.009266,137,35,(2/1)
Cortlandt St,1000,40.711835,-74.012188,138,36,(1)
Rector St,1000,40.707513,-74.013783,139,37,(1/2)
South Ferry Loop,1000,40.701411,-74.013205,140,38,(NA)
South Ferry,1000,40.702068,-74.01366400000001,142,39,(1)
Wakefield - 241 St,1000,40.903125,-73.85062000000001,201,40,(5)
Nereid Av,1000,40.898379,-73.854376,204,41,(5/2)
233 St,1000,40.893193,-73.857473,205,42,(5/2)
225 St,1000,40.888022,-73.86034100000001,206,43,(5)
219 St,1000,40.883895,-73.862633,207,44,(2)
Gun Hill Rd,1000,40.87785,-73.86625600000001,208,45,(5)
Burke Av,1000,40.871356,-73.867164,209,46,(5)
Allerton Av,1000,40.865462,-73.867352,210,47,(5)
Pelham Pkwy,1000,40.857192,-73.867615,211,48,(5/2)
Bronx Park East,1000,40.848828,-73.86845700000001,212,49,(5/2)
E 180 St,1000,40.841894,-73.873488,213,50,(2/5)
West Farms Sq - E Tremont Av,1000,40.840295,-73.880049,214,51,(5)
174 St,1000,40.837288,-73.887734,215,52,(5/2)
Freeman St,1000,40.829993,-73.891865,216,53,(2/5)
Simpson St,1000,40.824073,-73.893064,217,54,(5)
Intervale Av,1000,40.822181,-73.896736,218,55,(2/5)
Prospect Av,1000,40.819585,-73.90177,219,56,(2)
Jackson Av,1000,40.81649,-73.90780700000001,220,57,(5)
3 Av - 149 St,1000,40.816109,-73.917757,221,58,(5/2)
149 St - Grand Concourse,1000,40.81841,-73.92671799999999,222,59,(5/2)
135 St,1000,40.814229,-73.94077,224,60,(3/2)
125 St,1000,40.807754,-73.94549499999999,225,61,(3/2)
116 St,1000,40.802098,-73.949625,226,62,(3)
Central Park North (110 St),1000,40.799075,-73.95182200000001,227,63,(3/2)
