yeara,mktcap,nFIRM,comp,nCEO
2000,17522.963,333,22024.619,74
1991,19737.494,129,,
1992,23442.229,107,,
1993,23647.432,118,,
1994,22099.512,126,5147.5156,175
1995,22952.506,154,6280.3496,208
1996,23553.256,170,9106.9111,153
1997,25910.395,181,15507.991,74
1998,24560.773,204,9840.1348,212
1999,26160.131,237,10535.992,241
2000,22610.969,273,8611.0869,298
2001,28599.842,217,9762.0166,199
2002,29120.738,189,,
2003,29491.475,212,,
2004,28523.469,218,,
2005,31249.865,184,,
1991,7033.7192,320,,
1992,6930.2256,329,,
1993,6771.5957,361,,
1994,6151.0576,397,,
1995,6844.4497,415,,
1996,6859.9844,457,,
1997,7393.0747,483,,
1991,37889.5,64,4087.4214,119
1992,33185.703,77,4418.8096,132
1993,32007.506,92,4129.2715,215
1994,33931.16,82,4559.9141,211
1995,40952.031,85,6666.7725,189
1996,48432.711,91,9736.96,137
1997,59712.859,82,22978.494,36
1998,84667.945,67,8765.9707,242
1999,64572.473,112,7973.2168,311
2000,81593.523,92,15851.472,133
2001,98537.891,65,23577.041,40
2005,66749.578,83,,
2004,12242.159,490,,
2005,15315.33,361,,
1994,5214.063,459,9469.707,55
1995,12195.63,265,14547.978,50
1996,31932.031,126,34825.59,17
1997,38132.137,122,26342.768,31
1998,176377.48,22,51472.289,18
1999,189860.27,32,40382.527,37
2001,73022.273,86,,
2002,47232.793,120,,
2003,16637.354,353,18957.65,54
2004,17648.549,356,,
1991,105924.18,10,1648.4944,394
1992,101658.55,12,1882.0061,493
1993,112885.31,12,,
1994,104121.57,19,4813.5254,194
1995,92280.078,26,8797.4795,115
1996,101077.19,31,,
1997,100337.01,42,6051.207,294
1998,109576.8,49,10754.188,182
1999,112510.63,62,24593.314,88
2000,43174.895,160,6511.269,405
2001,37230.883,172,14216.508,105
2002,37657.184,148,16888.594,71
2003,40764.047,163,12597.968,115
2004,47047.926,151,,
2005,54371.891,110,,
1991,6728.4463,330,,
1992,8013.127,292,1878.3684,494
1993,7460.8394,326,,
1994,8540.1104,299,2490.5957,466
1995,9512.3545,324,,
1996,10445.619,330,,
1997,13600.608,297,4737.0566,416
1998,10791.272,395,,
1999,11009.042,460,,
2000,12379.284,423,6020.2261,425
2001,12219.295,406,7875.625,271
2002,12947.512,373,5952.9136,348
2003,14044.661,402,6518.3164,335
2004,15661.127,396,,
2005,15372.28,359,,
2000,11037.205,463,,
2001,9536.4551,495,,
1991,7452.1157,307,,
1992,9265.4844,258,,
1993,9793.3779,261,,
1994,10547.036,247,,
1995,11633.835,272,,
1996,11961.175,302,,
1997,15213.29,275,,
1998,19076.838,258,15709.853,130
1999,23368.904,261,7213.7959,342
2000,21749.75,286,36856.215,30
2001,21174.232,271,11732.055,149
1991,11165.355,231,,
1992,10267.557,241,,
1993,10721.028,240,,
1994,11598.229,236,,
1995,12238.625,264,,
1996,12027.457,300,5313.4082,314
1997,10382.593,377,,
1998,10273.685,416,,
1999,12996.867,405,11288.65,221
2000,19181.924,316,14740.042,143
2001,18918.121,295,10837.747,175
2002,16722.527,313,,
2003,34395.961,184,9728.9473,188
2004,36089.766,180,,
2005,27839.938,206,,
1993,5196.4131,458,6193.9888,111
1994,6299.0405,388,2969.3752,385
1995,8700.54,341,4193.606,351
1996,10430.537,332,5126.2705,327
1997,7555.4731,473,,
1991,5358.4819,391,,
1992,5712.082,394,,
1993,7151.1436,342,,
1991,6149.4023,349,,
1992,6396.4224,357,,
1993,7057.8799,346,,
1994,6564.958,376,,
1995,7368.29,391,,
1996,7618.6206,414,,
1997,7698.2183,461,,
1998,8391.835,481,,
2000,10389.668,489,,
2001,11740.489,418,,
2005,10104.758,498,,
1991,15237.827,173,5422.4956,64
1992,19305.41,133,6339.938,76
1993,21850.469,134,38490.332,2
1994,19454.676,151,5877.8394,131
1995,23617.906,150,6217.6826,210
1996,28755.268,145,22730.83,30
1997,31753.852,144,6687.0532,259
1998,35466.355,150,8566.3252,250
1999,61238.805,119,,
2000,52490.004,130,16294.212,131
2001,40765.102,157,62353.195,5
2002,37166.461,154,12197.454,123
2003,44332.047,151,16382.495,71
2004,45382.832,152,,
2005,45878.07,127,,
1991,5372.061,389,,
1992,6917.75,331,2507.366,323
1993,8913.6826,277,,
1994,9279.2295,278,,
1995,8887.29,338,,
1996,9038.3105,366,7738.6118,188
1997,10806.248,364,5245.9526,371
1998,22426.893,228,5062.2637,460
1999,32183.443,197,15894.872,152
2000,26412.039,240,10373.619,243
2001,24877.744,240,8691.8584,238
2002,24094.271,233,6895.27,287
2003,21433.418,287,6791.6318,318
2004,23393.064,276,,
2005,29740.141,196,,
1991,13077.707,211,4305.6245,102
1992,15435.153,175,2512.658,322
1993,15804.305,188,7187.6313,88
1994,17648.945,166,9931.2939,48
1995,19834.154,175,12490.597,63
1996,21015.598,190,8237.0479,171
1997,21242.758,213,10649.108,143
1998,25685.684,192,29598.701,45
1999,41780.906,166,29114.125,63
2000,48350.82,140,25727.066,52
2001,46262.594,135,20133.572,51
2002,37126.289,155,12542.568,116
2003,48812.566,132,10631.493,156
2004,42108.938,160,,
2005,40349.371,136,,
1991,4488.958,446,2641.0393,222
1992,4401.52,488,,
2000,11451.95,449,,
1991,5938.0405,357,,
1992,6164.3721,364,,
1991,10569.21,242,,
1992,10505.563,236,,
1993,10554.82,243,,
1994,9897.9287,262,3209.9895,346
1995,10230.317,298,3348.3115,454
1996,9771.2734,349,7224.6504,209
1997,9615.9746,408,,
1998,9589.3213,441,5313.7891,437
2000,12364.858,424,6428.834,408
2001,14549.243,364,6756.0845,338
2002,12361.432,383,,
2003,11562.399,462,8805.0957,230
2004,15674.36,395,,
2005,20733.232,273,,
1991,23540.41,106,4180.0562,110
1992,21585.266,120,8544.3018,48
1993,21101.367,137,5842.0474,132
1994,13943.308,209,3361.1943,330
1995,12982.052,260,3908.5916,388
1996,15106.366,253,4841.3232,351
1997,9713.0313,401,5986.3774,298
1998,8942.5186,460,,
2002,9869.0771,461,9156.9033,188
2003,13975.673,406,11032.133,147
2004,14145.956,442,,
2005,17927.324,319,,
1991,9890.3223,251,3058.8054,176
1992,9101.0488,262,1915.2433,482
1993,10383.521,247,,
1991,17673.896,143,,
1992,17342,151,,
1993,17619.281,166,,
1994,16728.775,176,,
1995,17875.621,198,,
1996,17514.885,226,,
1997,20107.648,221,,
1998,21837.848,232,,
1999,20407.635,283,5886.5908,417
2000,56592.883,117,,
2001,47125.246,130,,
2002,31694.148,184,,
2003,34772.891,182,12157.045,124
2004,32010.326,195,,
2005,32892.766,173,,
1991,176457.25,4,3352.3215,154
1992,208825.63,4,11551.82,23
1993,113965.2,10,7700.0054,78
1994,116776.94,14,8411.2725,66
1995,129603.83,14,10639.284,81
1996,135001.77,21,10855.782,121
1997,159364.72,19,12654.43,109
1998,169387.63,25,58238.371,14
1999,217352.94,28,26314.705,77
2000,215586.13,25,29132.039,41
2001,182195.13,35,20683.27,47
2002,181906.31,27,16523.244,73
2003,208463.97,29,21850.871,40
2004,226423.17,25,,
2005,149200.36,38,,
1991,12901.347,212,1548.0842,420
1992,14833.895,183,5117.6035,107
1993,18324.643,161,,
1994,22652.506,123,,
1995,28348.313,124,5793.2749,228
1996,29610.988,138,4026.0398,438
1997,32733.633,138,5661.2847,333
1998,38897.266,139,10692.172,185
1999,45313.711,154,10708.23,236
2000,50017.176,133,13730.999,159
2001,42396.672,143,13608.476,113
2002,49967.484,113,13919.102,101
2003,57175.602,111,9154.9473,211
2004,63743.117,105,,
2005,61870.359,91,,
1991,42596.582,55,3039.6816,178
1992,46967.055,49,3380.5793,212
1993,49570.348,57,7320.4917,83
1994,52943.766,51,2964.6914,386
1995,66383.844,48,3302.4312,464
1996,72444.711,48,6505.1777,239
1997,90417.594,47,9587.5576,163
1998,120202.73,45,41834.332,25
1999,130723.52,55,27730.141,70
2000,131133.09,52,,
1991,34529.824,74,4035.9934,121
1992,28437.416,86,4316.6406,138
1993,26879.4,106,4344.0278,196
1994,40573.609,64,9536.4482,54
1995,50212.551,67,6585.9146,196
1996,54705.207,74,8229.8467,172
1997,65403.617,73,9571.0166,164
1998,88575.992,62,16342.229,123
1999,70370.547,98,16967.004,142
2000,101637.66,74,25862.109,51
2001,97584.305,66,14272.683,103
2002,64723.219,89,11906.46,127
2003,73656.914,87,10332.734,164
2004,73806.781,85,,
2005,76389.016,75,,
1991,33739.773,78,6225.0786,46
1992,38520.426,61,3437.9565,205
1993,39229.648,72,3294.74,315
1994,39382.441,70,3627.3489,300
1995,50759.809,66,6878.3472,184
1996,51633.625,83,5294.2607,317
1997,62963.418,77,5643.1528,335
1998,90748.328,60,,
1991,93304.844,13,3951.4646,127
1992,105826.25,10,8099.7148,52
1993,128100.1,8,14536.495,29
1994,142749.91,8,6197.6836,120
1995,171127.5,8,18051.553,33
1996,188185.31,11,7799.4536,185
1997,225934.28,12,25537.32,33
1998,277640.84,11,11901.366,170
1999,410430.56,10,37391.602,47
2000,495003,6,12633.443,182
2001,630489.44,9,24429.396,37
2002,622725.38,9,,
2003,728292.06,9,25614.5,27
2004,808002.5,7,,
2005,836313.31,6,,
1991,4976.0815,414,,
1992,5222.6582,422,,
1993,5287.2935,452,,
1994,5525.3667,439,,
1995,6932.6016,413,,
1996,7746.981,410,,
1997,8410.2471,436,,
1998,8119.4048,492,,
2001,10223.809,470,,
2002,10931.845,421,,
2003,13306.033,422,,
2004,14545.52,430,,
1995,6528.8413,427,4151.0137,355
1996,7285.0898,430,6834.0674,219
1997,7374.1455,484,8852.4727,181
2001,9525.3389,496,35788.762,12
2002,9570.1055,472,,
2003,11533.958,464,4917.7148,476
2004,13473.018,457,,
2005,12553.009,427,,
1991,8928.9473,263,1784.0531,373
1992,9023.1582,265,,
1993,8891.9355,278,,
1994,8885.207,292,,
1995,9174.334,331,,
1996,11854.275,303,11763.682,109
1997,12397.475,319,,
1998,16433.826,297,,
1991,100575.59,12,4885.3589,79
1992,118005.13,9,5671.1938,97
1993,133109.17,6,7715.4287,77
1994,150978.17,6,18469.277,18
1995,184300.48,7,5848.7544,226
1996,107454.3,27,8634.999,162
1997,136103.41,24,12846.642,106
1998,167313.06,26,18026.033,108
1999,233680.81,24,26437.693,76
2000,167174.61,40,16423.078,130
2001,146193.72,44,27526.395,26
2002,56308.184,104,18874.502,54
2003,42061.293,157,9128.2744,213
2004,36343.109,178,,
1991,12224.863,219,1503.1595,438
1992,11655.151,223,,
1993,8188.6133,296,2658.5381,409
1994,9447.5254,273,4730.0649,202
1995,17954.191,197,4721.1133,298
1996,16251.379,237,9691.9697,140
1997,15670.122,267,6144.5532,286
1998,28745.83,174,9946.2754,210
1999,63546.488,114,39961.875,38
2000,67413.867,107,13720.147,160
2001,58839.168,101,9776.041,198
2002,64203.434,91,14359.355,95
2003,79626.078,81,8981.0391,222
2004,81624.453,76,,
2005,92948.836,62,,
1991,8567.1172,273,,
1992,8187.3682,289,2016.7209,452
1993,8633.2158,286,4027.5334,234
1994,9985.8662,258,3303.0713,334
1995,10876.24,287,3656.9666,421
1996,10946.937,321,4420.9019,399
1997,11614.908,341,,
1998,14013.744,338,,
1991,43581.238,50,2569.6748,234
1992,42539.672,59,3058.5212,244
1993,43078.98,62,3333.0256,309
1994,45782.129,60,3116.6475,360
1995,51836.656,64,3838.4741,399
1996,56401.977,71,4465.0811,391
1997,57035.441,88,,
1999,10079,490,14823.172,163
2000,25321.543,249,21496.785,78
2001,15423.938,344,26172.93,29
2002,11317.065,411,,
2003,16180.7,366,12735.836,110
2004,14703.339,424,,
2005,12173.791,436,,
2005,13112.825,411,,
1991,25553.699,97,4408.5757,95
1992,24225.488,100,3680.4685,175
1993,21014.475,138,4309.1436,200
1994,20453.854,142,4955.2744,183
1995,23895.053,148,4654.5601,305
1996,26766.061,152,5094.9365,330
1997,29157.957,159,8379.6973,196
1998,39640.168,133,13021.448,158
1999,40927.203,170,16133.866,148
2000,48696.5,139,17537.035,118
2001,47125.367,129,19903.668,54
2002,48659.879,118,20428.824,43
2003,50186.125,128,13720.108,97
2004,47297.793,149,,
2005,40083.957,138,,
2000,11996.248,433,,
2001,10418.771,463,,
2002,11251.701,415,,
2003,16408.496,357,,
2004,19990.535,319,,
2005,25749.246,222,,
1991,8380.9541,278,,
1992,7839.2173,297,,
1993,5917.7847,406,3730.8787,264
1994,6953.1689,355,3685.7834,290
1995,7824.4873,376,21135.178,26
1998,8062.7026,494,,
1999,12444.903,418,600347.38,1
